date,num_attendees,event_name,incentive,category,budget
9/24/2020,32,Fall 2020 General Body Meeting,Pizza,GBM
10/28/2021,25,Facilitator Picnic Night,Pizza snacks and desserts,Social
9/23/2021,32,Fall 2021 General Body Meeting,Pizza,GBM
1/13/2022,21,Spring 2022 General Body Meeting # 1,Pizza,GBM
3/10/2022,17,Spring 2022 General Body Meeting #2,Pizza,GBM
4/6/2022,12,Game Night,Games prizes and snacks,Social
9/15/2022,17,VIVA Finance,Pizza,Networking
9/20/2022,10,Accenture HQ Tour,None,Networking
9/20/2022,25,Fall General Body Meeting,Pizza,GBM
9/27/2022,12,HubSpot Meeting,Pizza,Networking
10/5/2022,30,Uber Lunch & Learn,Jason's deli catered meal,Networking
10/11/2022,18,Google Employee Panel,None,Networking
10/12/2022,10,Arts & Crafts Event,Art supplies,Social
10/13/2022,13,Google Technical Mock Interview,None,Networking
10/14/2022,12,Stripe Hacking SWE Internship,Chipotle catered meal,Networking
11/17/2022,7,Friendsgiving,Pies and gingerbread house and games,Social
12/7/2022,14,Finals Study Session,Coffee,Social
2/23/2023,30,Education Extravaganza,Personalized boba and pizza,Social
3/6/2023,10,Uber Paint & Sip,Jason's deli snacks and paint kits,Networking
3/9/2023,4,UKG Event,Pizza and UKG swag,Networking
3/13/2023,1,GEICO Networking Event,GEICO swag,Networking
4/12/2023,10,GSU x GT Mixer,Sublime donuts and prizes,Social
9/6/2023,37,GT GWC Boba Social & Info Session,Sweet Hut boba (8 gallons),Social,$348.48
9/12/2023,23,Accenture Info Session & Q&A,Pizza,Networking
9/20/2023,14,UKG Info Session,Jason's Deli,Networking
9/26/2023,20,Facilitator Orientation,Moe's dinners,GBM,$285
9/28/2023,20,Roblox Collab with SWE + WECE,Ray's pizza,Networking
10/18/2023,8,GEICO Info Session & Q&A,Ray's pizza,Networking
12/6/2023,37,Finals Study Session,Coffee (6 gallons),Social,$206.96
2/1/2024,45,Spring 2024 General Body Meeting #1,Sublime donuts (4 dozen),GBM,$104.54
2/8/2024,24,UKG Info Session,Jason's Deli catered meal,Networking
2/27/2024,0,Tin Drum Social,10% off (started marketing 4 days before tho),Social
3/8/2024,31,Paper & Clay Event,Free cups for painting,Social,$255
4/1/2024,5,Game Night,"Snack box, prizes",Social,$95.27
4/18/2024,11,Alumni Panel,"$10 thank you card for alumni",Networking,$50